id	input_tokens	cached_input_tokens	output_tokens
4d1adf7398f2	34331	27904	839
685b04d77f6b	34584	27904	770
33988158366d	52050	39936	612
f450819140d8	37721	29952	823
186958928953	33877	27904	1141
66d0bd773582	59865	50944	1484
a8b456fc3e04	38276	30976	786
57057b46720a	38569	30976	803
1b662e1bbbfa	33820	24832	912
df3d410eb0aa	33267	28928	732
427a63cda89b	37262	27904	612
730de403e1ab	37364	30976	605
c51958167170	34120	28928	758
c899020bc624	33950	27904	856
dbbae77c7f6e	38350	30976	784
70b2a916e02c	37749	29952	756
8c3e89cab233	47183	39936	654
8866b939926e	33991	27904	574
8a8efa69e8b7	37214	30976	326
f8e74118075c	37286	27904	336
96923096723e	33891	27904	756
a0d3aaa6d5c6	34469	28928	781
9e5c3e7fe36e	37362	27904	623
9e148077809d	37308	29952	479
be51d60107dd	33532	28928	843
3925a5656b79	46593	38912	1121
cd0166dd5b33	38531	28928	958
7e1bf0ead631	50604	40960	821
71804073d0dc	32800	27904	787
b6785a164e2a	33565	28928	856
1e92aa10ea24	37187	30976	377
fc486289d58c	37454	30976	519
a2fae64da980	34325	27904	867
f141680c35bf	45234	38912	986
08f80e55f283	49945	37888	949
3e41d0f3d7b7	51453	40960	754
2b75ef4e9c40	33934	28928	583
e76be8ce4243	34349	17920	501
e6dd02b73a06	37209	29952	328
58590a197956	38411	30976	427
525355abb9e7	34552	27904	889
904e202fb6b4	34549	27904	814
5eb7236bb846	37212	30976	455
3f7642112f47	48971	41984	777
c8a8ff29a7ac	34230	27904	1049
08eb4977409a	32754	26880	850
7bc5bb132da1	64640	52992	1206
08665f140e8e	38551	30976	714
5cd902407e79	33381	28928	888
712342d4511a	32825	27904	645
4589614f91fc	48806	39936	678
43a6c9952eb1	37328	30976	547
fb08d3303c45	42720	26880	891
2eef2fe7fe91	34343	28928	742
35fc2656a95c	38356	27904	687
761a1e777070	38396	27904	615
8ee836570563	34158	18944	474
050e2998844b	45753	37888	686
c44e21e41b7e	37349	27904	413
27d429552237	38391	30976	448
