run	case	model	condition	luna	terra	strict
1	generated-file	gpt-5.6-luna	none	true	true	true
1	generated-file	gpt-5.6-luna	simple	true	true	true
1	generated-file	gpt-5.6-luna	ponytail	true	true	true
1	generated-file	gpt-5.6-luna	simple-ponytail	true	true	true
1	generated-file	gpt-5.6-luna	candidate	true	true	true
1	generated-file	gpt-5.6-luna	candidate-ponytail	true	true	true
1	generated-file	gpt-5.6-terra	none	true	true	true
1	generated-file	gpt-5.6-terra	simple	true	true	true
1	generated-file	gpt-5.6-terra	ponytail	true	true	true
1	generated-file	gpt-5.6-terra	simple-ponytail	true	true	true
1	generated-file	gpt-5.6-terra	candidate	true	true	true
1	generated-file	gpt-5.6-terra	candidate-ponytail	true	true	true
1	ownership-hotspot	gpt-5.6-luna	none	true	true	true
1	ownership-hotspot	gpt-5.6-luna	simple	true	true	true
1	ownership-hotspot	gpt-5.6-luna	ponytail	true	true	true
1	ownership-hotspot	gpt-5.6-luna	simple-ponytail	true	true	true
1	ownership-hotspot	gpt-5.6-luna	candidate	true	true	true
1	ownership-hotspot	gpt-5.6-luna	candidate-ponytail	true	true	true
1	ownership-hotspot	gpt-5.6-terra	none	true	true	true
1	ownership-hotspot	gpt-5.6-terra	simple	true	true	true
1	ownership-hotspot	gpt-5.6-terra	ponytail	false	false	false
1	ownership-hotspot	gpt-5.6-terra	simple-ponytail	true	true	true
1	ownership-hotspot	gpt-5.6-terra	candidate	true	true	true
1	ownership-hotspot	gpt-5.6-terra	candidate-ponytail	true	true	true
1	comment-causality	gpt-5.6-luna	none	true	true	true
1	comment-causality	gpt-5.6-luna	simple	true	true	true
1	comment-causality	gpt-5.6-luna	ponytail	true	true	true
1	comment-causality	gpt-5.6-luna	simple-ponytail	true	true	true
1	comment-causality	gpt-5.6-luna	candidate	true	true	true
1	comment-causality	gpt-5.6-luna	candidate-ponytail	true	true	true
1	comment-causality	gpt-5.6-terra	none	true	false	false
1	comment-causality	gpt-5.6-terra	simple	true	true	true
1	comment-causality	gpt-5.6-terra	ponytail	true	false	false
1	comment-causality	gpt-5.6-terra	simple-ponytail	true	true	true
1	comment-causality	gpt-5.6-terra	candidate	true	true	true
1	comment-causality	gpt-5.6-terra	candidate-ponytail	true	true	true
1	direct-budget	gpt-5.6-luna	none	true	true	true
1	direct-budget	gpt-5.6-luna	simple	true	true	true
1	direct-budget	gpt-5.6-luna	ponytail	true	true	true
1	direct-budget	gpt-5.6-luna	simple-ponytail	true	true	true
1	direct-budget	gpt-5.6-luna	candidate	true	true	true
1	direct-budget	gpt-5.6-luna	candidate-ponytail	true	true	true
1	direct-budget	gpt-5.6-terra	none	true	false	false
1	direct-budget	gpt-5.6-terra	simple	true	true	true
1	direct-budget	gpt-5.6-terra	ponytail	false	false	false
1	direct-budget	gpt-5.6-terra	simple-ponytail	true	true	true
1	direct-budget	gpt-5.6-terra	candidate	true	true	true
1	direct-budget	gpt-5.6-terra	candidate-ponytail	true	true	true
1	semantic-compression	gpt-5.6-luna	none	true	false	false
1	semantic-compression	gpt-5.6-luna	simple	true	true	true
1	semantic-compression	gpt-5.6-luna	ponytail	true	false	false
1	semantic-compression	gpt-5.6-luna	simple-ponytail	true	true	true
1	semantic-compression	gpt-5.6-luna	candidate	true	true	true
1	semantic-compression	gpt-5.6-luna	candidate-ponytail	true	true	true
1	semantic-compression	gpt-5.6-terra	none	true	false	false
1	semantic-compression	gpt-5.6-terra	simple	true	true	true
1	semantic-compression	gpt-5.6-terra	ponytail	true	false	false
1	semantic-compression	gpt-5.6-terra	simple-ponytail	true	true	true
1	semantic-compression	gpt-5.6-terra	candidate	true	true	true
1	semantic-compression	gpt-5.6-terra	candidate-ponytail	true	true	true
