id	input_tokens	cached_input_tokens	output_tokens
3dd50c47dd59	18564	16896	359
4d1adf7398f2	45902	37888	1038
d0cc3d115ebc	20874	16896	224
49d9ce27bd43	36874	22784	795
685b04d77f6b	45890	30976	829
e611ba6b9ae1	50488	41984	838
8fa8e3dba357	32591	28928	419
33988158366d	51414	43008	761
3f9e3f98de98	23968	18944	291
759892b02349	42270	34048	641
f450819140d8	37266	30976	427
06dec93c62f2	41226	34048	447
a8323396240a	18598	8960	853
186958928953	34383	27904	894
50029798b5a2	20910	16896	500
101856e27058	38068	28928	969
66d0bd773582	48789	40960	1395
20daf63952ce	38475	29952	1026
c44568621bc4	21600	18944	647
a8b456fc3e04	37671	29952	1005
e716e1b6a39a	23959	18944	465
531dd81b2e4a	54551	43008	784
57057b46720a	65340	51968	1043
c15ce89b3d29	57461	48128	958
08af6d646dfa	18610	16896	526
1b662e1bbbfa	42639	33024	958
cd65c0156c5e	20893	16896	436
57cbc89fd034	50835	41984	950
df3d410eb0aa	33873	27904	832
8b7cdfad0d36	37589	29952	956
3a114b3b932a	21605	17920	252
427a63cda89b	37271	29952	559
1e3ffc744048	23929	18944	220
590b6a945043	41260	34048	693
730de403e1ab	50522	44032	615
f7be72ec6cec	41348	32000	594
134d7f813b6b	28402	25856	665
c51958167170	34163	27904	856
011c6fb9660b	32799	27904	768
e5a161f37451	38215	29952	752
c899020bc624	33901	27904	920
caa7c1ebfa72	51644	41984	920
6cb2aa8efd1f	32881	28928	450
dbbae77c7f6e	38345	29952	675
669ee33efc5b	23939	18944	335
9df950eb87e5	41218	32000	580
70b2a916e02c	38680	30976	725
0fa713741582	42446	34048	869
f75176e433dc	18568	16896	187
8c3e89cab233	45177	31744	632
d9fdfa1bd9c6	20898	16896	258
d89c3e4c2315	38197	29952	539
8866b939926e	34432	27904	553
2500208d7ca2	38417	29952	593
ef880054d681	32607	29952	306
8a8efa69e8b7	37182	29952	321
a0004e2dab82	23980	17920	294
798d1bd33375	42131	34048	406
f8e74118075c	38492	30976	476
1a9221f81deb	41287	28928	382
