run	case	model	condition	luna	terra	strict
1	greenfield-start	gpt-5.6-luna	none	false	false	false
1	greenfield-start	gpt-5.6-luna	ponytail	true	true	true
1	greenfield-start	gpt-5.6-luna	simple	true	true	true
1	greenfield-start	gpt-5.6-luna	simple-ponytail	true	true	true
1	greenfield-start	gpt-5.6-luna	candidate	true	true	true
1	greenfield-start	gpt-5.6-luna	candidate-ponytail	true	true	true
1	greenfield-start	gpt-5.6-terra	none	true	true	true
1	greenfield-start	gpt-5.6-terra	ponytail	true	true	true
1	greenfield-start	gpt-5.6-terra	simple	true	true	true
1	greenfield-start	gpt-5.6-terra	simple-ponytail	true	true	true
1	greenfield-start	gpt-5.6-terra	candidate	true	true	true
1	greenfield-start	gpt-5.6-terra	candidate-ponytail	true	false	false
1	shared-owner-fix	gpt-5.6-luna	none	true	false	false
1	shared-owner-fix	gpt-5.6-luna	ponytail	false	false	false
1	shared-owner-fix	gpt-5.6-luna	simple	true	true	true
1	shared-owner-fix	gpt-5.6-luna	simple-ponytail	true	true	true
1	shared-owner-fix	gpt-5.6-luna	candidate	true	true	true
1	shared-owner-fix	gpt-5.6-luna	candidate-ponytail	true	true	true
1	shared-owner-fix	gpt-5.6-terra	none	false	false	false
1	shared-owner-fix	gpt-5.6-terra	ponytail	false	false	false
1	shared-owner-fix	gpt-5.6-terra	simple	true	true	true
1	shared-owner-fix	gpt-5.6-terra	simple-ponytail	true	true	true
1	shared-owner-fix	gpt-5.6-terra	candidate	true	true	true
1	shared-owner-fix	gpt-5.6-terra	candidate-ponytail	false	false	false
1	startup-root-cause	gpt-5.6-luna	none	true	false	false
1	startup-root-cause	gpt-5.6-luna	ponytail	true	false	false
1	startup-root-cause	gpt-5.6-luna	simple	true	true	true
1	startup-root-cause	gpt-5.6-luna	simple-ponytail	true	true	true
1	startup-root-cause	gpt-5.6-luna	candidate	true	true	true
1	startup-root-cause	gpt-5.6-luna	candidate-ponytail	true	true	true
1	startup-root-cause	gpt-5.6-terra	none	true	false	false
1	startup-root-cause	gpt-5.6-terra	ponytail	false	false	false
1	startup-root-cause	gpt-5.6-terra	simple	true	true	true
1	startup-root-cause	gpt-5.6-terra	simple-ponytail	true	true	true
1	startup-root-cause	gpt-5.6-terra	candidate	true	true	true
1	startup-root-cause	gpt-5.6-terra	candidate-ponytail	false	false	false
1	ordinary-path	gpt-5.6-luna	none	true	true	true
1	ordinary-path	gpt-5.6-luna	ponytail	true	true	true
1	ordinary-path	gpt-5.6-luna	simple	true	true	true
1	ordinary-path	gpt-5.6-luna	simple-ponytail	true	true	true
1	ordinary-path	gpt-5.6-luna	candidate	true	true	true
1	ordinary-path	gpt-5.6-luna	candidate-ponytail	true	true	true
1	ordinary-path	gpt-5.6-terra	none	true	true	true
1	ordinary-path	gpt-5.6-terra	ponytail	true	true	true
1	ordinary-path	gpt-5.6-terra	simple	true	true	true
1	ordinary-path	gpt-5.6-terra	simple-ponytail	true	true	true
1	ordinary-path	gpt-5.6-terra	candidate	true	true	true
1	ordinary-path	gpt-5.6-terra	candidate-ponytail	true	true	true
1	routine-edit	gpt-5.6-luna	none	true	true	true
1	routine-edit	gpt-5.6-luna	ponytail	true	true	true
1	routine-edit	gpt-5.6-luna	simple	true	true	true
1	routine-edit	gpt-5.6-luna	simple-ponytail	true	true	true
1	routine-edit	gpt-5.6-luna	candidate	true	true	true
1	routine-edit	gpt-5.6-luna	candidate-ponytail	true	true	true
1	routine-edit	gpt-5.6-terra	none	true	true	true
1	routine-edit	gpt-5.6-terra	ponytail	true	true	true
1	routine-edit	gpt-5.6-terra	simple	true	true	true
1	routine-edit	gpt-5.6-terra	simple-ponytail	true	true	true
1	routine-edit	gpt-5.6-terra	candidate	true	true	true
1	routine-edit	gpt-5.6-terra	candidate-ponytail	true	true	true
