case	condition	n	pass	blockers	readability_mean	readability_sd	actionability_mean	actionability_sd	completeness_mean	completeness_sd	concision_mean	concision_sd
debug-spiral	candidate	2	0	0	3.50	0.50	4.00	1.00	3.00	0.00	4.00	0.00
debug-spiral	current	2	0	0	4.50	0.50	5.00	0.00	3.00	0.00	4.50	0.50
debug-spiral	none	2	0	0	4.50	0.50	4.00	0.00	3.00	0.00	4.50	0.50
failure-shape	candidate	2	0	2	4.50	0.50	2.00	1.00	2.00	1.00	5.00	0.00
failure-shape	current	2	0	2	5.00	0.00	3.00	0.00	3.00	0.00	4.50	0.50
failure-shape	none	2	0	2	5.00	0.00	3.00	0.00	3.00	0.00	5.00	0.00
inspection-not-execution	candidate	2	1	1	5.00	0.00	1.00	0.00	4.00	1.00	5.00	0.00
inspection-not-execution	current	2	0	2	5.00	0.00	1.00	0.00	3.00	0.00	5.00	0.00
inspection-not-execution	none	2	2	0	5.00	0.00	1.00	0.00	5.00	0.00	5.00	0.00
list-cap	candidate	2	0	2	1.00	0.00	1.00	0.00	3.00	0.00	4.00	0.00
list-cap	current	2	0	2	1.00	0.00	1.00	0.00	3.00	0.00	4.00	0.00
list-cap	none	2	0	2	2.00	0.00	1.00	0.00	3.00	0.00	5.00	0.00
round-status	candidate	2	1	1	4.00	1.00	3.00	0.00	5.00	0.00	5.00	0.00
round-status	current	2	0	1	4.00	1.00	3.00	0.00	3.00	0.00	5.00	0.00
round-status	none	2	0	2	3.00	0.00	3.00	0.00	1.00	0.00	5.00	0.00
stated-requirement	candidate	2	2	0	4.50	0.50	4.00	0.00	5.00	0.00	3.50	0.50
stated-requirement	current	2	1	0	4.00	0.00	4.00	0.00	4.50	0.50	4.00	0.00
stated-requirement	none	2	0	2	3.00	0.00	4.50	0.50	1.00	0.00	4.50	0.50
stated-requirement-consumer	candidate	2	2	0	3.00	0.00	3.00	0.00	5.00	0.00	3.00	0.00
stated-requirement-consumer	current	2	1	1	3.00	0.00	3.00	0.00	4.00	1.00	3.00	0.00
stated-requirement-consumer	none	2	1	1	3.50	0.50	3.00	0.00	4.00	1.00	4.00	1.00
