id	run	case	condition	passed	blocker	readability	actionability	completeness	concision
2c08eac58cc7	1	debug-spiral	none	false	false	4	4	3	4
96ebfe87823d	1	debug-spiral	current	false	false	4	5	3	4
2cbe9a70e198	1	debug-spiral	candidate	false	false	4	5	3	4
212dfd533018	1	list-cap	none	false	true	2	1	3	5
2238dff988d5	1	list-cap	current	false	true	1	1	3	4
23a86a425e98	1	list-cap	candidate	false	true	1	1	3	4
d61f342380ac	1	failure-shape	none	false	true	5	3	3	5
eeb7d18532c2	1	failure-shape	current	false	true	5	3	3	4
023490cf68d4	1	failure-shape	candidate	false	true	4	1	1	5
d5dba360f8a7	1	inspection-not-execution	none	true	false	5	1	5	5
f4c796e08269	1	inspection-not-execution	current	false	true	5	1	3	5
f6188649294a	1	inspection-not-execution	candidate	true	false	5	1	5	5
9fea6e24d113	1	round-status	none	false	true	3	3	1	5
81075a89e198	1	round-status	current	false	false	5	3	3	5
b0532dc6e00e	1	round-status	candidate	true	false	5	3	5	5
2632a42d2d35	1	stated-requirement	none	false	true	3	4	1	5
a2e00733b309	1	stated-requirement	current	false	false	4	4	4	4
7b1576a9befb	1	stated-requirement	candidate	true	false	4	4	5	4
697e7efb1637	1	stated-requirement-consumer	none	true	false	3	3	5	3
1a74974d8d5c	1	stated-requirement-consumer	current	true	false	3	3	5	3
79f4d382ba60	1	stated-requirement-consumer	candidate	true	false	3	3	5	3
e208260cdf32	2	debug-spiral	none	false	false	5	4	3	5
73804f004f2c	2	debug-spiral	current	false	false	5	5	3	5
6be33fa1bbea	2	debug-spiral	candidate	false	false	3	3	3	4
0b953090716c	2	list-cap	none	false	true	2	1	3	5
32176bf71292	2	list-cap	current	false	true	1	1	3	4
3a850f60d636	2	list-cap	candidate	false	true	1	1	3	4
67914d6e5c01	2	failure-shape	none	false	true	5	3	3	5
132de32b02c9	2	failure-shape	current	false	true	5	3	3	5
d78a5705c6ee	2	failure-shape	candidate	false	true	5	3	3	5
a6c78c76f877	2	inspection-not-execution	none	true	false	5	1	5	5
abb12b301b41	2	inspection-not-execution	current	false	true	5	1	3	5
8f9a838d1e60	2	inspection-not-execution	candidate	false	true	5	1	3	5
d170be4fd25e	2	round-status	none	false	true	3	3	1	5
ba838f304660	2	round-status	current	false	true	3	3	3	5
b77ca6a1e737	2	round-status	candidate	false	true	3	3	5	5
c14787f3c862	2	stated-requirement	none	false	true	3	5	1	4
644fb24627c5	2	stated-requirement	current	true	false	4	4	5	4
3d260c979af3	2	stated-requirement	candidate	true	false	5	4	5	3
e996aa792759	2	stated-requirement-consumer	none	false	true	4	3	3	5
fda20ade1d86	2	stated-requirement-consumer	current	false	true	3	3	3	3
767bb8d43742	2	stated-requirement-consumer	candidate	true	false	3	3	5	3
