id	run	case	condition	status	raw_artifact	verifier_artifact	diff_artifact	failure_review
2d19c916a76b50bb	1	correction-preserves	previous	success	raw/2d19c916a76b50bb.md	verifiers/2d19c916a76b50bb.stdout	diffs/2d19c916a76b50bb.diff	none
566c42456f37e790	1	correction-preserves	candidate	success	raw/566c42456f37e790.md	verifiers/566c42456f37e790.stdout	diffs/566c42456f37e790.diff	none
a6521655d09bae76	1	fallback-selection	candidate	success	raw/a6521655d09bae76.md	verifiers/a6521655d09bae76.stdout	diffs/a6521655d09bae76.diff	none
97fd4d6942158f00	1	fallback-selection	previous	success	raw/97fd4d6942158f00.md	verifiers/97fd4d6942158f00.stdout	diffs/97fd4d6942158f00.diff	none
9b329d970c36a1d8	1	reuse-package	previous	success	raw/9b329d970c36a1d8.md	verifiers/9b329d970c36a1d8.stdout	diffs/9b329d970c36a1d8.diff	none
e010d1de1fe77567	1	reuse-package	candidate	success	raw/e010d1de1fe77567.md	verifiers/e010d1de1fe77567.stdout	diffs/e010d1de1fe77567.diff	none
d7167561948e5682	1	reuse-local	candidate	success	raw/d7167561948e5682.md	verifiers/d7167561948e5682.stdout	diffs/d7167561948e5682.diff	none
37bd2473e3deb191	1	reuse-local	previous	success	raw/37bd2473e3deb191.md	verifiers/37bd2473e3deb191.stdout	diffs/37bd2473e3deb191.diff	none
bdd4fe074644bd7f	1	reuse-direct	previous	success	raw/bdd4fe074644bd7f.md	verifiers/bdd4fe074644bd7f.stdout	diffs/bdd4fe074644bd7f.diff	none
f9cc190bc7dbc543	1	reuse-direct	candidate	success	raw/f9cc190bc7dbc543.md	verifiers/f9cc190bc7dbc543.stdout	diffs/f9cc190bc7dbc543.diff	none
7f93aee77c93c16b	1	writing-context	candidate	success	raw/7f93aee77c93c16b.md	verifiers/7f93aee77c93c16b.stdout	diffs/7f93aee77c93c16b.diff	none
fc592d85efd0877c	1	writing-context	previous	success	raw/fc592d85efd0877c.md	verifiers/fc592d85efd0877c.stdout	diffs/fc592d85efd0877c.diff	none
1256d40abced1810	2	correction-preserves	candidate	success	raw/1256d40abced1810.md	verifiers/1256d40abced1810.stdout	diffs/1256d40abced1810.diff	none
553fde5fd8a4359a	2	correction-preserves	previous	success	raw/553fde5fd8a4359a.md	verifiers/553fde5fd8a4359a.stdout	diffs/553fde5fd8a4359a.diff	none
d459e29daa0d6895	2	fallback-selection	previous	success	raw/d459e29daa0d6895.md	verifiers/d459e29daa0d6895.stdout	diffs/d459e29daa0d6895.diff	none
049a14fed5702bc0	2	fallback-selection	candidate	success	raw/049a14fed5702bc0.md	verifiers/049a14fed5702bc0.stdout	diffs/049a14fed5702bc0.diff	none
2818811c2e647046	2	reuse-package	candidate	success	raw/2818811c2e647046.md	verifiers/2818811c2e647046.stdout	diffs/2818811c2e647046.diff	none
db372b1e8d908570	2	reuse-package	previous	success	raw/db372b1e8d908570.md	verifiers/db372b1e8d908570.stdout	diffs/db372b1e8d908570.diff	none
89aac9ef76c92b4c	2	reuse-local	previous	success	raw/89aac9ef76c92b4c.md	verifiers/89aac9ef76c92b4c.stdout	diffs/89aac9ef76c92b4c.diff	none
4df307288eae1068	2	reuse-local	candidate	success	raw/4df307288eae1068.md	verifiers/4df307288eae1068.stdout	diffs/4df307288eae1068.diff	none
d894cdbe07759538	2	reuse-direct	candidate	success	raw/d894cdbe07759538.md	verifiers/d894cdbe07759538.stdout	diffs/d894cdbe07759538.diff	none
6a3d89dd0e1e155e	2	reuse-direct	previous	success	raw/6a3d89dd0e1e155e.md	verifiers/6a3d89dd0e1e155e.stdout	diffs/6a3d89dd0e1e155e.diff	none
bdb50e7726ad7256	2	writing-context	previous	success	raw/bdb50e7726ad7256.md	verifiers/bdb50e7726ad7256.stdout	diffs/bdb50e7726ad7256.diff	none
4babd397d1e572a8	2	writing-context	candidate	success	raw/4babd397d1e572a8.md	verifiers/4babd397d1e572a8.stdout	diffs/4babd397d1e572a8.diff	none
